Date,Value
1938-04-01,56.5
1938-05-01,64.7
1938-06-01,73.5
1938-07-01,80.4
1938-08-01,81.3
1938-09-01,72.1
1938-10-01,63.0
1938-11-01,45.9
1938-12-01,34.9
1939-01-01,37.7
1939-02-01,32.7
1939-03-01,46.7
1939-04-01,52.1
1939-05-01,68.2
1939-06-01,75.6
1939-07-01,79.7
1939-08-01,75.7
1939-09-01,75.2
1939-10-01,60.2
1939-11-01,43.1
1939-12-01,35.7
1940-01-01,13.8
1940-02-01,32.0
1940-03-01,41.9
1940-04-01,53.0
1940-05-01,62.5
1940-06-01,75.5
1940-07-01,78.4
1940-08-01,77.1
1940-09-01,68.5
1940-10-01,62.5
1940-11-01,41.3
1940-12-01,38.0
1941-01-01,33.1
1941-02-01,30.9
1941-03-01,38.9
1941-04-01,58.6
1941-05-01,69.1
1941-06-01,75.8
1941-07-01,80.0
1941-08-01,79.7
1941-09-01,71.4
1941-10-01,61.2
1941-11-01,44.4
1941-12-01,39.2
1942-01-01,30.5
1942-02-01,32.3
1942-03-01,45.3
1942-04-01,59.1
1942-05-01,64.7
1942-06-01,74.0
1942-07-01,79.5
1942-08-01,75.2
1942-09-01,68.1
1942-10-01,57.8
1942-11-01,46.6
1942-12-01,30.6
1943-01-01,29.7
1943-02-01,38.1
1943-03-01,38.9
1943-04-01,53.9
1943-05-01,64.2
1943-06-01,76.9
1943-07-01,80.8
1943-08-01,79.9
1943-09-01,65.4
1943-10-01,56.1
1943-11-01,40.6
1943-12-01,30.1
1944-01-01,35.2
1944-02-01,36.3
1944-03-01,39.9
1944-04-01,52.4
1944-05-01,70.2
1944-06-01,78.5
1944-07-01,78.5
1944-08-01,77.1
1944-09-01,69.3
1944-10-01,59.0
1944-11-01,45.3
1944-12-01,27.4
1945-01-01,26.9
1945-02-01,34.3
1945-03-01,52.9
1945-04-01,55.9
1945-05-01,60.3
1945-06-01,70.0
1945-07-01,76.4
1945-08-01,76.9
1945-09-01,68.8
1945-10-01,56.8
1945-11-01,44.5
1945-12-01,27.0
1946-01-01,32.9
1946-02-01,39.4
1946-03-01,55.8
1946-04-01,59.8
1946-05-01,62.1
1946-06-01,75.9
1946-07-01,79.4
1946-08-01,72.8
1946-09-01,68.4
1946-10-01,61.3
1946-11-01,46.6
1946-12-01,39.2
1947-01-01,35.7
1947-02-01,27.6
1947-03-01,35.9
1947-04-01,54.1
1947-05-01,63.1
1947-06-01,73.2
1947-07-01,76.1
1947-08-01,84.9
1947-09-01,71.0
1947-10-01,65.1
1947-11-01,39.5
1947-12-01,37.4
1948-01-01,24.7
1948-02-01,32.5
1948-03-01,42.6
1948-04-01,59.6
1948-05-01,64.1
1948-06-01,74.8
1948-07-01,78.5
1948-08-01,78.0
1948-09-01,71.0
1948-10-01,55.4
1948-11-01,46.1
1948-12-01,37.0
1949-01-01,31.6
1949-02-01,35.4
1949-03-01,43.1
1949-04-01,53.3
1949-05-01,68.8
1949-06-01,77.0
1949-07-01,80.6
1949-08-01,76.7
1949-09-01,63.7
1949-10-01,59.5
1949-11-01,47.8
1949-12-01,39.1
1950-01-01,36.8
1950-02-01,35.9
1950-03-01,40.2
1950-04-01,50.5
1950-05-01,67.1
1950-06-01,74.1
1950-07-01,75.4
1950-08-01,72.3
1950-09-01,67.1
1950-10-01,63.8
1950-11-01,37.4
1950-12-01,28.3
1951-01-01,31.8
1951-02-01,34.8
1951-03-01,39.5
1951-04-01,51.8
1951-05-01,67.5
1951-06-01,72.3
1951-07-01,78.4
1951-08-01,76.6
1951-09-01,66.1
1951-10-01,58.8
1951-11-01,37.9
1951-12-01,33.0
1952-01-01,35.1
1952-02-01,39.1
1952-03-01,41.8
1952-04-01,54.6
1952-05-01,65.9
1952-06-01,83.2
1952-07-01,81.5
1952-08-01,76.7
1952-09-01,69.8
1952-10-01,53.3
1952-11-01,45.0
1952-12-01,36.4
1953-01-01,34.4
1953-02-01,39.2
1953-03-01,46.2
1953-04-01,51.8
1953-05-01,67.3
1953-06-01,81.6
1953-07-01,81.6
1953-08-01,78.3
1953-09-01,72.1
1953-10-01,61.6
1953-11-01,46.6
1953-12-01,37.0
1954-01-01,31.9
1954-02-01,43.1
1954-03-01,41.6
1954-04-01,61.8
1954-05-01,61.7
1954-06-01,79.5
1954-07-01,85.1
1954-08-01,80.0
1954-09-01,74.3
1954-10-01,58.4
1954-11-01,45.0
1954-12-01,36.1
1955-01-01,32.2
1955-02-01,35.2
1955-03-01,44.3
1955-04-01,62.6
1955-05-01,68.3
1955-06-01,71.5
1955-07-01,83.6
1955-08-01,80.1
1955-09-01,73.3
1955-10-01,57.8
1955-11-01,40.7
1955-12-01,32.5
1956-01-01,28.3
1956-02-01,36.2
1956-03-01,44.5
1956-04-01,53.1
1956-05-01,67.9
1956-06-01,76.3
1956-07-01,78.0
1956-08-01,79.2
1956-09-01,70.6
1956-10-01,64.1
1956-11-01,44.0
1956-12-01,37.9
1957-01-01,26.1
1957-02-01,39.7
1957-03-01,42.8
1957-04-01,56.1
1957-05-01,66.2
1957-06-01,75.7
1957-07-01,80.3
1957-08-01,79.2
1957-09-01,68.2
1957-10-01,54.5
1957-11-01,42.5
1957-12-01,40.2
1958-01-01,30.4
1958-02-01,24.8
1958-03-01,37.5
1958-04-01,55.4
1958-05-01,66.2
1958-06-01,71.6
1958-07-01,76.6
1958-08-01,77.4
1958-09-01,68.9
1958-10-01,58.7
1958-11-01,47.9
1958-12-01,29.7
1959-01-01,26.8
1959-02-01,35.5
1959-03-01,45.4
1959-04-01,56.7
1959-05-01,69.4
1959-06-01,76.2
1959-07-01,77.8
1959-08-01,80.6
1959-09-01,71.1
1959-10-01,56.9
1959-11-01,38.8
1959-12-01,39.1
1960-01-01,33.3
1960-02-01,30.6
1960-03-01,30.2
1960-04-01,58.7
1960-05-01,62.5
1960-06-01,73.7
1960-07-01,76.1
1960-08-01,79.0
1960-09-01,74.0
1960-10-01,58.8
1960-11-01,46.3
1960-12-01,30.7
1961-01-01,29.7
1961-02-01,37.1
1961-03-01,46.5
1961-04-01,51.6
1961-05-01,61.1
1961-06-01,73.0
1961-07-01,78.1
1961-08-01,76.4
1961-09-01,71.8
1961-10-01,59.9
1961-11-01,44.8
1961-12-01,32.7
1962-01-01,25.5
1962-02-01,37.3
1962-03-01,40.3
1962-04-01,53.8
1962-05-01,72.8
1962-06-01,74.8
1962-07-01,76.6
1962-08-01,76.4
1962-09-01,67.2
1962-10-01,61.7
1962-11-01,45.7
1962-12-01,31.9
1963-01-01,22.1
1963-02-01,29.2
1963-03-01,49.5
1963-04-01,58.9
1963-05-01,64.6
1963-06-01,76.2
1963-07-01,78.1
1963-08-01,75.6
1963-09-01,69.3
1963-10-01,67.6
1963-11-01,46.4
1963-12-01,22.9
1964-01-01,35.5
1964-02-01,35.0
1964-03-01,43.0
1964-04-01,59.4
1964-05-01,70.3
1964-06-01,75.6
1964-07-01,79.2
1964-08-01,77.2
1964-09-01,70.1
1964-10-01,54.8
1964-11-01,48.0
1964-12-01,32.6
1965-01-01,32.7
1965-02-01,34.5
1965-03-01,35.2
