Date,Value
1965-04-01,59.1
1965-05-01,71.3
1965-06-01,75.8
1965-07-01,77.5
1965-08-01,76.5
1965-09-01,69.8
1965-10-01,57.1
1965-11-01,49.3
1965-12-01,42.4
1966-01-01,25.7
1966-02-01,32.9
1966-03-01,47.4
1966-04-01,52.4
1966-05-01,62.4
1966-06-01,74.4
1966-07-01,83.7
1966-08-01,75.0
1966-09-01,66.4
1966-10-01,55.0
1966-11-01,47.8
1966-12-01,35.5
1967-01-01,35.5
1967-02-01,32.0
1967-03-01,49.0
1967-04-01,59.2
1967-05-01,61.5
1967-06-01,74.7
1967-07-01,75.2
1967-08-01,72.7
1967-09-01,66.8
1967-10-01,57.7
1967-11-01,42.3
1967-12-01,35.1
1968-01-01,28.9
1968-02-01,29.6
1968-03-01,46.4
1968-04-01,55.8
1968-05-01,62.2
1968-06-01,77.3
1968-07-01,77.9
1968-08-01,77.8
1968-09-01,68.3
1968-10-01,57.2
1968-11-01,43.8
1968-12-01,32.5
1969-01-01,29.4
1969-02-01,35.6
1969-03-01,38.1
1969-04-01,57.2
1969-05-01,65.9
1969-06-01,72.8
1969-07-01,80.7
1969-08-01,77.3
1969-09-01,69.5
1969-10-01,56.4
1969-11-01,43.6
1969-12-01,32.4
1970-01-01,25.1
1970-02-01,33.2
1970-03-01,40.9
1970-04-01,58.3
1970-05-01,69.5
1970-06-01,72.6
1970-07-01,78.2
1970-08-01,76.6
1970-09-01,72.4
1970-10-01,56.8
1970-11-01,44.2
1970-12-01,37.6
1971-01-01,28.1
1971-02-01,34.5
1971-03-01,42.3
1971-04-01,56.5
1971-05-01,62.9
1971-06-01,79.5
1971-07-01,76.0
1971-08-01,76.4
1971-09-01,73.2
1971-10-01,64.3
1971-11-01,46.7
1971-12-01,41.2
1972-01-01,30.5
1972-02-01,34.9
1972-03-01,45.6
1972-04-01,56.7
1972-05-01,67.0
1972-06-01,74.0
1972-07-01,78.1
1972-08-01,76.9
1972-09-01,71.7
1972-10-01,55.5
1972-11-01,40.5
1972-12-01,31.0
1973-01-01,33.2
1973-02-01,35.0
1973-03-01,51.5
1973-04-01,54.4
1973-05-01,62.7
1973-06-01,75.6
1973-07-01,79.7
1973-08-01,77.9
1973-09-01,71.0
1973-10-01,61.7
1973-11-01,47.9
1973-12-01,31.0
1974-01-01,30.8
1974-02-01,37.0
1974-03-01,49.1
1974-04-01,58.4
1974-05-01,65.9
1974-06-01,70.5
1974-07-01,80.8
1974-08-01,75.5
1974-09-01,63.3
1974-10-01,58.7
1974-11-01,45.0
1974-12-01,35.0
1975-01-01,34.2
1975-02-01,32.9
1975-03-01,39.9
1975-04-01,54.4
1975-05-01,68.5
1975-06-01,75.9
1975-07-01,78.7
1975-08-01,78.9
1975-09-01,65.7
1975-10-01,60.0
1975-11-01,49.3
1975-12-01,36.5
1976-01-01,29.1
1976-02-01,44.4
1976-03-01,49.7
1976-04-01,57.5
1976-05-01,62.1
1976-06-01,74.1
1976-07-01,80.2
1976-08-01,75.5
1976-09-01,68.2
1976-10-01,52.7
1976-11-01,37.8
1976-12-01,29.6
1977-01-01,16.3
1977-02-01,34.3
1977-03-01,49.7
1977-04-01,61.3
1977-05-01,71.6
1977-06-01,75.1
1977-07-01,81.1
1977-08-01,76.3
1977-09-01,71.7
1977-10-01,56.6
1977-11-01,45.5
1977-12-01,31.3
1978-01-01,20.4
1978-02-01,21.4
1978-03-01,38.4
1978-04-01,57.1
1978-05-01,64.8
1978-06-01,75.1
1978-07-01,79.5
1978-08-01,76.7
1978-09-01,73.1
1978-10-01,56.5
1978-11-01,47.4
1978-12-01,35.0
1979-01-01,17.4
1979-02-01,23.1
1979-03-01,44.9
1979-04-01,53.9
1979-05-01,65.2
1979-06-01,75.0
1979-07-01,77.8
1979-08-01,76.7
1979-09-01,69.1
1979-10-01,59.5
1979-11-01,44.1
1979-12-01,37.9
1980-01-01,31.5
1980-02-01,27.4
1980-03-01,40.3
1980-04-01,54.2
1980-05-01,67.2
1980-06-01,76.0
1980-07-01,84.1
1980-08-01,82.2
1980-09-01,71.5
1980-10-01,55.4
1980-11-01,45.6
1980-12-01,35.0
1981-01-01,30.4
1981-02-01,37.3
1981-03-01,45.0
1981-04-01,63.0
1981-05-01,60.6
1981-06-01,75.5
1981-07-01,78.5
1981-08-01,76.0
1981-09-01,69.0
1981-10-01,55.5
1981-11-01,48.5
1981-12-01,30.9
1982-01-01,22.5
1982-02-01,28.5
1982-03-01,45.2
1982-04-01,51.4
1982-05-01,70.6
1982-06-01,70.4
1982-07-01,79.2
1982-08-01,75.1
1982-09-01,67.9
1982-10-01,58.2
1982-11-01,46.2
1982-12-01,41.5
1983-01-01,32.2
1983-02-01,38.0
1983-03-01,44.4
1983-04-01,50.2
1983-05-01,62.2
1983-06-01,75.2
1983-07-01,83.3
1983-08-01,84.0
1983-09-01,71.8
1983-10-01,59.6
1983-11-01,48.1
1983-12-01,20.4
1984-01-01,28.1
1984-02-01,40.2
1984-03-01,37.0
1984-04-01,54.0
1984-05-01,63.1
1984-06-01,79.3
1984-07-01,78.2
1984-08-01,80.5
1984-09-01,68.0
1984-10-01,61.6
1984-11-01,44.2
1984-12-01,40.6
1985-01-01,22.5
1985-02-01,30.4
1985-03-01,49.4
1985-04-01,60.3
1985-05-01,67.4
1985-06-01,71.5
1985-07-01,79.2
1985-08-01,74.6
1985-09-01,70.7
1985-10-01,61.3
1985-11-01,46.3
1985-12-01,27.2
1986-01-01,34.8
1986-02-01,34.4
1986-03-01,49.1
1986-04-01,60.7
1986-05-01,68.0
1986-06-01,78.2
1986-07-01,82.7
1986-08-01,73.9
1986-09-01,73.2
1986-10-01,58.2
1986-11-01,41.3
1986-12-01,35.3
1987-01-01,30.5
1987-02-01,40.0
1987-03-01,48.5
1987-04-01,56.8
1987-05-01,72.5
1987-06-01,77.7
1987-07-01,80.8
1987-08-01,78.8
1987-09-01,70.4
1987-10-01,53.7
1987-11-01,49.0
1987-12-01,37.9
1988-01-01,29.1
1988-02-01,30.4
1988-03-01,45.1
1988-04-01,56.9
1988-05-01,68.8
1988-06-01,77.5
1988-07-01,80.4
1988-08-01,82.5
1988-09-01,71.4
1988-10-01,53.1
1988-11-01,46.1
1988-12-01,36.4
1989-01-01,40.1
1989-02-01,27.6
1989-03-01,44.4
1989-04-01,57.1
1989-05-01,63.7
1989-06-01,74.2
1989-07-01,78.8
1989-08-01,77.2
1989-09-01,66.8
1989-10-01,60.8
1989-11-01,46.5
1989-12-01,23.5
1990-01-01,42.3
1990-02-01,40.8
1990-03-01,49.2
1990-04-01,55.1
1990-05-01,63.0
1990-06-01,76.7
1990-07-01,79.6
1990-08-01,77.3
1990-09-01,73.5
1990-10-01,57.5
1990-11-01,52.1
1990-12-01,34.1
1991-01-01,28.7
1991-02-01,41.2
1991-03-01,49.5
1991-04-01,60.9
1991-05-01,72.5
1991-06-01,79.3
1991-07-01,80.3
1991-08-01,79.1
1991-09-01,71.8
1991-10-01,59.9
1991-11-01,41.8
1991-12-01,38.7
1992-01-01,36.5
1992-02-01,42.1
1992-03-01,48.0
1992-04-01,57.2
1992-05-01,64.5
1992-06-01,73.2
1992-07-01,78.4
1992-08-01,72.8
1992-09-01,68.6
1992-10-01,58.8
1992-11-01,43.8
1992-12-01,35.1
1993-01-01,31.5
1993-02-01,31.2
1993-03-01,40.9
1993-04-01,53.6
1993-05-01,65.8
1993-06-01,74.6
1993-07-01,81.3
1993-08-01,79.8
1993-09-01,65.8
1993-10-01,55.6
1993-11-01,43.3
1993-12-01,36.7
1994-01-01,26.2
1994-02-01,34.4
1994-03-01,47.2
1994-04-01,57.1
1994-05-01,64.4
1994-06-01,78.5
1994-07-01,78.9
1994-08-01,76.0
1994-09-01,69.7
1994-10-01,60.9
1994-11-01,51.5
1994-12-01,40.9
1995-01-01,30.5
1995-02-01,35.8
1995-03-01,48.5
1995-04-01,56.3
1995-05-01,64.1
1995-06-01,75.0
1995-07-01,80.7
1995-08-01,83.4
1995-09-01,67.4
1995-10-01,60.3
1995-11-01,42.2
1995-12-01,33.3
1996-01-01,28.8
1996-02-01,36.9
1996-03-01,40.5
1996-04-01,54.0
1996-05-01,68.1
1996-06-01,75.4
1996-07-01,76.6
1996-08-01,78.5
1996-09-01,68.1
1996-10-01,58.9
1996-11-01,39.8
1996-12-01,36.3
1997-01-01,27.5
1997-02-01,39.0
1997-03-01,48.5
1997-04-01,51.7
1997-05-01,62.5
1997-06-01,74.4
1997-07-01,81.0
1997-08-01,76.9
1997-09-01,71.0
1997-10-01,59.9
1997-11-01,42.8
1997-12-01,35.9
1998-01-01,37.2
1998-02-01,43.4
1998-03-01,44.0
1998-04-01,56.1
1998-05-01,72.0
1998-06-01,76.4
1998-07-01,79.7
1998-08-01,79.9
1998-09-01,75.8
1998-10-01,61.1
1998-11-01,50.4
1998-12-01,38.0
1999-01-01,32.2
1999-02-01,43.3
1999-03-01,43.6
1999-04-01,59.4
1999-05-01,67.6
1999-06-01,75.7
1999-07-01,83.7
1999-08-01,77.3
1999-09-01,70.5
1999-10-01,59.6
1999-11-01,53.4
1999-12-01,39.0
2000-01-01,33.8
2000-02-01,43.8
2000-03-01,49.9
2000-04-01,56.0
2000-05-01,69.8
2000-06-01,73.7
2000-07-01,78.4
2000-08-01,81.2
2000-09-01,70.4
2000-10-01,62.1
2000-11-01,42.1
2000-12-01,22.5
2001-01-01,31.3
2001-02-01,35.9
2001-03-01,42.3
2001-04-01,63.9
2001-05-01,69.5
2001-06-01,74.9
2001-07-01,81.5
2001-08-01,80.5
2001-09-01,69.6
2001-10-01,58.6
2001-11-01,53.9
2001-12-01,40.7
2002-01-01,37.5
2002-02-01,39.5
2002-03-01,42.9
2002-04-01,59.6
2002-05-01,63.7
2002-06-01,78.2
2002-07-01,82.9
2002-08-01,80.1
2002-09-01,73.5
2002-10-01,55.4
2002-11-01,44.3
2002-12-01,37.6
2003-01-01,28.2
2003-02-01,31.5
2003-03-01,47.7
2003-04-01,58.2
2003-05-01,65.2
2003-06-01,71.4
2003-07-01,80.1
2003-08-01,81.0
2003-09-01,67.8
2003-10-01,60.1
2003-11-01,49.5
2003-12-01,38.8
2004-01-01,31.1
2004-02-01,36.0
2004-03-01,50.0
2004-04-01,59.4
2004-05-01,71.0
2004-06-01,74.5
2004-07-01,78.1
2004-08-01,73.8
2004-09-01,71.6
2004-10-01,60.3
2004-11-01,49.5
2004-12-01,37.1
2005-01-01,34.0
2005-02-01,40.6
2005-03-01,44.1
2005-04-01,59.1
2005-05-01,66.7
2005-06-01,78.9
2005-07-01,80.2
2005-08-01,80.1
2005-09-01,74.0
2005-10-01,58.9
2005-11-01,48.7
2005-12-01,32.1
2006-01-01,42.5
2006-02-01,35.4
2006-03-01,46.7
2006-04-01,62.2
2006-05-01,66.3
2006-06-01,76.3
2006-07-01,82.8
2006-08-01,80.2
2006-09-01,67.6
2006-10-01,55.4
2006-11-01,47.0
2006-12-01,40.8
2007-01-01,34.2
2007-02-01,29.4
2007-03-01,53.8
2007-04-01,54.0
2007-05-01,71.0
2007-06-01,76.5
2007-07-01,78.5
2007-08-01,84.6
2007-09-01,74.2
2007-10-01,63.2
2007-11-01,46.6
2007-12-01,35.3
2008-01-01,32.8
2008-02-01,32.2
2008-03-01,43.8
2008-04-01,54.1
2008-05-01,63.0
2008-06-01,76.7
2008-07-01,79.1
2008-08-01,76.5
2008-09-01,70.1
2008-10-01,58.1
2008-11-01,44.6
2008-12-01,32.3
2009-01-01,28.7
2009-02-01,38.8
2009-03-01,49.1
2009-04-01,55.8
2009-05-01,66.8
2009-06-01,77.5
2009-07-01,75.4
2009-08-01,76.2
2009-09-01,69.6
2009-10-01,53.5
2009-11-01,51.7
2009-12-01,33.6
2010-01-01,27.0
2010-02-01,30.4
2010-03-01,48.7
2010-04-01,63.8
2010-05-01,67.9
2010-06-01,80.4
2010-07-01,82.3
2010-08-01,82.1
2010-09-01,71.1
2010-10-01,61.7
2010-11-01,48.6
2010-12-01,30.1
2011-01-01,27.6
2011-02-01,36.5
2011-03-01,47.1
2011-04-01,60.4
2011-05-01,66.2
2011-06-01,78.3
2011-07-01,85.6
2011-08-01,81.4
2011-09-01,67.6
2011-10-01,60.3
2011-11-01,50.7
2011-12-01,40.7
2012-01-01,38.0
2012-02-01,41.2
2012-03-01,61.0
2012-04-01,60.1
2012-05-01,73.0
2012-06-01,78.1
2012-07-01,87.9
2012-08-01,79.5
2012-09-01,69.2
2012-10-01,56.7
2012-11-01,45.9
2012-12-01,41.6
2013-01-01,35.5
2013-02-01,35.5
2013-03-01,45.4
2013-04-01,55.3
2013-05-01,67.0
2013-06-01,75.8
2013-07-01,77.7
2013-08-01,78.5
2013-09-01,73.7
2013-10-01,59.0
2013-11-01,43.4
2013-12-01,33.0
2014-01-01,27.2
2014-02-01,27.0
2014-03-01,42.0
2014-04-01,58.1
2014-05-01,69.0
2014-06-01,77.6
2014-07-01,76.0
2014-08-01,79.9
2014-09-01,69.6
2014-10-01,59.0
2014-11-01,40.3
2014-12-01,38.4
2015-01-01,32.8
2015-02-01,26.3
2015-03-01,46.0
2015-04-01,59.8
2015-05-01,69.1
2015-06-01,77.1
2015-07-01,80.1
2015-08-01,77.3
2015-09-01,74.6
2015-10-01,60.6
2015-11-01,51.2
2015-12-01,45.0
2016-01-01,33.4
2016-02-01,39.8
2016-03-01,52.6
2016-04-01,59.4
2016-05-01,65.9
2016-06-01,80.8
2016-07-01,81.1
2016-08-01,80.3
2016-09-01,74.9
2016-10-01,65.1
2016-11-01,51.7
2016-12-01,34.3
2017-01-01,37.5
2017-02-01,47.2
2017-03-01,49.5
2017-04-01,61.8
2017-05-01,68.2
2017-06-01,77.9
2017-07-01,83.8
2017-08-01,75.2
2017-09-01,72.7
2017-10-01,61.6
2017-11-01,48.1
2017-12-01,34.9
2018-01-01,29.8
2018-02-01,38.0
2018-03-01,43.1
2018-04-01,49.9
2018-05-01,75.4
2018-06-01,80.3
2018-07-01,80.3
2018-08-01,79.7
2018-09-01,74.8
2018-10-01,59.6
2018-11-01,38.9
2018-12-01,39.0
2019-01-01,30.8
