t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
10.0,9.0,-2.0,-17.0,-18.0,-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0
9.0,-2.0,-17.0,-18.0,-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0
-2.0,-17.0,-18.0,-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0
-17.0,-18.0,-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0
-18.0,-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0
-1.0,3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0
3.0,4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0
4.0,33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0
33.0,-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0
-6.0,-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0
-3.0,-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0
-11.0,3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0
3.0,13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0
13.0,-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0
-4.0,-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0
-16.0,-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0
-20.0,-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0
-2.0,3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0
3.0,3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0
3.0,30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0
30.0,-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0
-11.0,1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0
1.0,-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0
-6.0,1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0
1.0,12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0
12.0,0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0
0.0,-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0
-18.0,-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0
-15.0,0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0
0.0,0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0
0.0,5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0
5.0,30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0
30.0,-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0
-7.0,-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0
-1.0,-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0
-8.0,5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0
5.0,12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0
12.0,-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0
-4.0,-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0
-16.0,-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0
-15.0,-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0
-2.0,-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0
-2.0,4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0
4.0,28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0
28.0,-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0
-6.0,-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0
-1.0,-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0
-6.0,2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0
2.0,11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0
11.0,-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0
-3.0,-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0
-17.0,-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0
-14.0,-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0
-4.0,3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0
3.0,4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0
4.0,24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0
24.0,-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0
