t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
-6.0,1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0
1.0,-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0
-9.0,7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0
7.0,12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0
12.0,-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0
-1.0,-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0
-15.0,-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0
-17.0,-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0
-2.0,0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0
0.0,11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0
11.0,18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0
18.0,-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0
-5.0,-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0
-2.0,-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0
-7.0,6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0
6.0,13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0
13.0,-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0
-10.0,-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0
-15.0,-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0
-15.0,-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0
-3.0,2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0
2.0,7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0
7.0,26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0
26.0,-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0
-8.0,-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0
-2.0,-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0
-6.0,6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0
6.0,12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0
12.0,-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0
-5.0,-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0
-13.0,-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0
-14.0,-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0
-3.0,1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0
1.0,10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0
10.0,15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0
15.0,-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0
-6.0,-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0
-1.0,-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0
-5.0,4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0
4.0,11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0
11.0,-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0
-4.0,-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0
-15.0,-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0
-11.0,-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0
-3.0,1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0
1.0,14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0
14.0,9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0
9.0,-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0
-5.0,1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0
1.0,-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0
-5.0,3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0
3.0,10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0
10.0,-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0
-1.0,-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0
-14.0,-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0
-10.0,-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0
-1.0,1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0
1.0,12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0
12.0,9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0
9.0,-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0
-5.0,1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0
1.0,-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0
-6.0,4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0
4.0,10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0
10.0,1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0
1.0,-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0
-14.0,-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0
-11.0,-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0
-4.0,3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0
3.0,14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0
14.0,5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0
5.0,-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0
-4.0,1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0
1.0,-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0
-5.0,7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0
7.0,8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0
8.0,11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0
11.0,-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0
-7.0,-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0
-23.0,-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0
-6.0,5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0
5.0,11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0
11.0,5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0
5.0,-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0
-4.0,0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0
0.0,-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0
-4.0,2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0
2.0,10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0
10.0,-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0
-1.0,-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0
-11.0,-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0
-12.0,-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0
-2.0,2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0
2.0,15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0
15.0,4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0
4.0,-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0
-4.0,-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0
-2.0,-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0
-3.0,3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0
3.0,9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0
9.0,3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0
3.0,-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0
-16.0,-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0
-10.0,-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0
-2.0,5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0
5.0,14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0
14.0,-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0
-1.0,-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0
-3.0,1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0
1.0,3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0
3.0,-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0
-3.0,9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0
9.0,-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0,11.0
-1.0,-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0,11.0,-2.0
-11.0,-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0,11.0,-2.0,-11.0
-12.0,-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0,11.0,-2.0,-11.0,-7.0
-1.0,4.0,15.0,-3.0,-3.0,0.0,-4.0,1.0,11.0,-2.0,-11.0,-7.0,-1.0
