t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
2.191099882,2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957
2.340253592,2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033
2.761164904,2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045
2.879018784,2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005
2.909007549,3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311
3.487406015,3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703
3.606489897,3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798
3.486269474,3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833
3.400402546,2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937
2.902363062,2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904
2.9634287360000005,3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999
3.904750109,4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999
4.689188957,4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572
4.608592033,4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999
4.942800045,5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453
5.1362934110000005,5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115
5.266802311,4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783
4.947603703,4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289
4.610665798,4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999
4.672032833,4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171
4.92263937,5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064
5.370153904,5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807
5.574412822999999,5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554
5.863056182999999,5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718
5.845014572,5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304
5.874550342999999,5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001
5.565362453,5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109
5.583547115,5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215
5.99453783,6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001
6.04953289,5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008
5.957874297999999,6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124
6.64838171,5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724
5.92814064,5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951
5.688059807,5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164
5.984116554,5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875
5.890908718,5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712
5.555350304,5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018
5.481729507000001,5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233
5.236843109,5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015
5.783129215,5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899
5.859058857000001,5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194
5.840034008,5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001
5.897107124,5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379
5.393265724,5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971
5.855546951,5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291
5.60514164,5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674
5.595553875,6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118
6.082968712,6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467
6.258440018,5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038
5.95607233,6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444
6.5871810910000015,7.277453899,7.454953194,8.232341766000001,9.288797379,9.707386971,9.376373291,9.89155674,9.685480118,11.14038467,11.9094038,11.7223444,11.50239754
