t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
1.687537074,1.4694845680000002,1.441042423,1.525887251,1.4766639469999998,1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929
1.4694845680000002,1.441042423,1.525887251,1.4766639469999998,1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644
1.441042423,1.525887251,1.4766639469999998,1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971
1.525887251,1.4766639469999998,1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733
1.4766639469999998,1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754
1.412675738,1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393
1.341841221,0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047
0.8791373370000001,0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354
0.70947957,0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367
0.987101912,1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998
1.002662063,1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577
1.232781291,1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239
1.282092929,1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936
1.59542644,1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215
1.699100971,1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109
1.941007733,1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962
1.707244754,1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757
1.659489393,1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517
1.916344047,1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149
1.767501354,1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767
1.854326367,1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767,2.644831419
1.7054834369999998,2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767,2.644831419,2.974978685
2.10625577,2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767,2.644831419,2.974978685,3.034035444
2.274755239,2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767,2.644831419,2.974978685,3.034035444,3.174294233
2.462698936,2.43487215,2.555277109,2.488384962,2.632369757,2.542551517,2.451830149,2.53760767,2.644831419,2.974978685,3.034035444,3.174294233,3.159528732
