Category: All categories

Month,flour: (United States),gluten free: (United States)
2013-10,46,88
2013-11,55,100
2013-12,54,92
2014-01,55,93
2014-02,51,89
2014-03,49,93
2014-04,45,86
2014-05,42,85
2014-06,42,79
2014-07,45,80
2014-08,46,80
2014-09,45,74
2014-10,46,77
2014-11,54,86
2014-12,53,79
2015-01,53,77
2015-02,49,70
2015-03,46,70
2015-04,44,68
2015-05,42,67
2015-06,42,71
2015-07,45,78
2015-08,46,74
2015-09,44,71
2015-10,45,73
2015-11,53,83
2015-12,54,80
2016-01,57,79
2016-02,50,77
2016-03,48,75
2016-04,47,75
2016-05,47,75
2016-06,50,74
2016-07,50,78
2016-08,46,75
2016-09,46,73
2016-10,48,76
2016-11,51,82
2016-12,57,85
2017-01,57,77
2017-02,53,78
2017-03,51,77
2017-04,51,80
2017-05,49,75
2017-06,48,81
2017-07,53,87
2017-08,51,79
2017-09,50,76
2017-10,52,79
2017-11,60,90
2017-12,64,94
2018-01,66,80
2018-02,61,80
2018-03,59,83
2018-04,55,79
2018-05,52,78
2018-06,54,83
2018-07,59,89
2018-08,58,84
2018-09,58,81
2018-10,58,81
2018-11,66,92
2018-12,73,98
2019-01,75,84
2019-02,69,82
2019-03,63,83
2019-04,58,82
2019-05,53,78
2019-06,57,84
2019-07,55,87
2019-08,56,86
2019-09,58,81
2019-10,59,80
