Category: All categories

Month,Republicans: (United States),Democrats: (United States)
2004-01,27,39
2004-02,33,39
2004-03,28,33
2004-04,25,29
2004-05,23,25
2004-06,28,30
2004-07,37,52
2004-08,45,43
2004-09,56,59
2004-10,68,80
2004-11,52,71
2004-12,18,20
2005-01,18,22
2005-02,22,25
2005-03,19,21
2005-04,19,26
2005-05,16,24
2005-06,17,23
2005-07,14,18
2005-08,14,18
2005-09,20,25
2005-10,20,27
2005-11,22,31
2005-12,15,18
2006-01,18,25
2006-02,18,23
2006-03,17,22
2006-04,18,21
2006-05,14,20
2006-06,12,19
2006-07,11,17
2006-08,12,20
2006-09,18,26
2006-10,29,39
2006-11,32,59
2006-12,13,16
2007-01,13,21
2007-02,12,17
2007-03,13,18
2007-04,12,17
2007-05,12,17
2007-06,11,13
2007-07,10,15
2007-08,12,15
2007-09,14,18
2007-10,18,23
2007-11,17,22
2007-12,14,16
2008-01,24,36
2008-02,27,45
2008-03,17,24
2008-04,13,20
2008-05,14,20
2008-06,13,20
2008-07,12,15
2008-08,19,24
2008-09,45,45
2008-10,45,53
2008-11,32,37
2008-12,11,10
2009-01,14,15
2009-02,20,16
2009-03,15,15
2009-04,14,13
2009-05,12,12
2009-06,13,12
2009-07,12,22
2009-08,14,16
2009-09,18,17
2009-10,18,16
2009-11,17,20
2009-12,13,12
2010-01,18,16
2010-02,19,14
2010-03,24,24
2010-04,16,16
2010-05,12,14
2010-06,11,11
2010-07,11,11
2010-08,12,11
2010-09,17,16
2010-10,23,24
2010-11,31,24
2010-12,16,11
2011-01,18,14
2011-02,19,16
2011-03,16,14
2011-04,19,14
2011-05,15,11
2011-06,12,10
2011-07,17,12
2011-08,16,12
2011-09,19,13
2011-10,19,15
2011-11,17,14
2011-12,16,12
2012-01,21,15
2012-02,19,15
2012-03,19,15
2012-04,16,13
2012-05,16,13
2012-06,15,13
2012-07,14,12
2012-08,26,19
2012-09,35,34
2012-10,38,34
2012-11,47,38
2012-12,17,12
2013-01,18,13
2013-02,17,12
2013-03,14,11
2013-04,13,12
2013-05,13,10
2013-06,10,8
2013-07,10,8
2013-08,11,8
2013-09,18,12
2013-10,43,23
2013-11,19,16
2013-12,12,9
2014-01,12,9
2014-02,13,11
2014-03,12,10
2014-04,12,10
2014-05,12,10
2014-06,10,9
2014-07,10,8
2014-08,8,8
2014-09,13,11
2014-10,18,17
2014-11,34,24
2014-12,12,9
2015-01,14,9
2015-02,13,10
2015-03,17,12
2015-04,13,10
2015-05,12,9
2015-06,13,10
2015-07,12,10
2015-08,15,12
2015-09,19,13
2015-10,22,17
2015-11,20,15
2015-12,19,13
2016-01,20,15
2016-02,33,27
2016-03,34,32
2016-04,18,19
2016-05,18,17
2016-06,19,23
2016-07,28,28
2016-08,21,16
2016-09,20,18
2016-10,40,35
2016-11,60,59
2016-12,19,22
2017-01,41,38
2017-02,32,34
2017-03,27,32
2017-04,16,22
2017-05,23,22
2017-06,20,23
2017-07,19,17
2017-08,16,18
2017-09,16,16
2017-10,20,20
2017-11,20,25
2017-12,23,22
2018-01,24,29
2018-02,21,29
2018-03,17,22
2018-04,16,19
2018-05,15,20
2018-06,20,29
2018-07,20,25
2018-08,18,26
2018-09,26,35
2018-10,42,62
2018-11,56,100
2018-12,17,24
2019-01,24,48
2019-02,22,42
2019-03,20,33
2019-04,17,29
2019-05,18,26
2019-06,16,28
2019-07,16,31
2019-08,15,27
2019-09,21,32
2019-10,26,33
