DATE,WPU012202
1971-01-01,63.4
1971-02-01,63.6
1971-03-01,62.0
1971-04-01,60.8
1971-05-01,60.2
1971-06-01,63.0
1971-07-01,59.6
1971-08-01,51.3
1971-09-01,46.5
1971-10-01,44.4
1971-11-01,43.2
1971-12-01,50.2
1972-01-01,48.9
1972-02-01,48.0
1972-03-01,48.9
1972-04-01,49.9
1972-05-01,51.1
1972-06-01,50.7
1972-07-01,51.7
1972-08-01,51.4
1972-09-01,55.4
1972-10-01,50.7
1972-11-01,52.2
1972-12-01,66.0
1973-01-01,63.2
1973-02-01,64.7
1973-03-01,62.6
1973-04-01,66.0
1973-05-01,81.9
1973-06-01,100.6
1973-07-01,86.7
1973-08-01,135.2
1973-09-01,99.0
1973-10-01,99.7
1973-11-01,99.3
1973-12-01,109.5
1974-01-01,116.6
1974-02-01,121.3
1974-03-01,119.9
1974-04-01,105.8
1974-05-01,107.6
1974-06-01,115.0
1974-07-01,126.9
1974-08-01,150.0
1974-09-01,139.3
1974-10-01,150.5
1974-11-01,142.2
1974-12-01,142.8
1975-01-01,132.3
1975-02-01,123.6
1975-03-01,116.4
1975-04-01,113.3
1975-05-01,112.8
1975-06-01,113.2
1975-07-01,116.2
1975-08-01,124.5
1975-09-01,114.9
1975-10-01,111.1
1975-11-01,101.1
1975-12-01,102.7
1976-01-01,106.2
1976-02-01,107.8
1976-03-01,108.2
1976-04-01,105.6
1976-05-01,111.3
1976-06-01,117.2
1976-07-01,118.9
1976-08-01,112.6
1976-09-01,112.4
1976-10-01,99.9
1976-11-01,92.5
1976-12-01,98.7
1977-01-01,100.6
1977-02-01,99.9
1977-03-01,100.4
1977-04-01,101.4
1977-05-01,94.3
1977-06-01,88.3
1977-07-01,81.6
1977-08-01,73.2
1977-09-01,73.0
1977-10-01,71.8
1977-11-01,84.3
1977-12-01,87.3
1978-01-01,87.3
1978-02-01,87.7
1978-03-01,93.5
1978-04-01,102.0
1978-05-01,100.6
1978-06-01,99.9
1978-07-01,92.7
1978-08-01,88.3
1978-09-01,85.3
1978-10-01,87.5
1978-11-01,90.1
1978-12-01,88.9
1979-01-01,90.1
1979-02-01,92.9
1979-03-01,94.5
1979-04-01,100.2
1979-05-01,104.2
1979-06-01,106.6
1979-07-01,121.3
1979-08-01,113.0
1979-09-01,109.3
1979-10-01,111.4
1979-11-01,103.0
1979-12-01,107.9
1980-01-01,100.0
1980-02-01,105.9
1980-03-01,103.8
1980-04-01,103.8
1980-05-01,106.5
1980-06-01,105.4
1980-07-01,123.8
1980-08-01,135.5
1980-09-01,138.1
1980-10-01,137.6
1980-11-01,132.8
1980-12-01,136.8
1981-01-01,142.8
1981-02-01,137.9
1981-03-01,136.7
1981-04-01,138.0
1981-05-01,135.9
1981-06-01,136.7
1981-07-01,139.6
1981-08-01,127.0
1981-09-01,110.2
1981-10-01,106.8
1981-11-01,102.2
1981-12-01,96.3
1982-01-01,104.8
1982-02-01,103.9
1982-03-01,104.7
1982-04-01,106.8
1982-05-01,110.2
1982-06-01,108.9
