Month,furniture_price_adjusted
5/1/11,6250.681813
6/1/11,6202.572437
7/1/11,6386.222735
8/1/11,6796.500345
9/1/11,6598.674466
10/1/11,6158.139244
11/1/11,7004.306393
12/1/11,7954.34312
1/1/12,6075.405272
2/1/12,6371.446266
3/1/12,6970.566667
4/1/12,6172.462319
5/1/12,6892.808214
6/1/12,6609.470934
7/1/12,6753.425791
8/1/12,7252.377435
9/1/12,6720.135669
10/1/12,6555.882511
11/1/12,7423.555733
12/1/12,8260.440957
1/1/13,6559.754061
2/1/13,6424.962324
3/1/13,7155.997107
4/1/13,6639.307834
5/1/13,7124.000648
6/1/13,6889.507895
7/1/13,7274.312998
8/1/13,7724.959291
9/1/13,7173.618748
10/1/13,7347.516656
11/1/13,8044.925254
12/1/13,8365.385656
1/1/14,6575.665757
2/1/14,6623.811927
3/1/14,7475.448925
4/1/14,7210.41826
5/1/14,7786.32813
6/1/14,7332.814843
7/1/14,7815.454929
8/1/14,8109.741014
9/1/14,7778.535769
10/1/14,7823.876207
11/1/14,8250.871327
12/1/14,9378.326802
1/1/15,7265.909127
2/1/15,6885.127354
3/1/15,7941.885392
4/1/15,7630.140181
5/1/15,8255.744883
6/1/15,7989.348449
7/1/15,8487.388556
8/1/15,8510.720867
9/1/15,8329.342933
10/1/15,8456.511741
11/1/15,8790.736951
12/1/15,10087.54504
1/1/16,7566.373476
2/1/16,7760.50462
3/1/16,8611.985618
4/1/16,8041.962711
5/1/16,8442.118269
6/1/16,8574.283494
7/1/16,8620.528324
8/1/16,8995.133463
9/1/16,8980.943282
10/1/16,8538.239592
11/1/16,9374.816424
12/1/16,10244.98593
1/1/17,7874.983206
2/1/17,7871.229543
3/1/17,9230.062726
4/1/17,8237.952382
5/1/17,9047.518982
6/1/17,8999.307096
7/1/17,8864.093035
8/1/17,9485.8372
9/1/17,9182.448031
10/1/17,9141.979154
11/1/17,10145.59041
12/1/17,10833.50185
1/1/18,8417.343128
2/1/18,8266.94327
3/1/18,9754.740971
4/1/18,8973.885759
5/1/18,9733.086145
6/1/18,9554.807941
7/1/18,9542.663403
8/1/18,10010.5981
9/1/18,9407.29734
10/1/18,9569.037851
11/1/18,10380.1941
12/1/18,10726.59507
1/1/19,8431.965334
2/1/19,8271.237355
3/1/19,9718.107698
4/1/19,9248.814254
5/1/19,10001.3053
6/1/19,9431.337229
7/1/19,9887.800688
