Date,diff_mean
4/1/38,0.050412371
5/1/38,8.250412371
6/1/38,17.05041237
7/1/38,23.95041237
8/1/38,24.85041237
9/1/38,15.65041237
10/1/38,6.550412371
11/1/38,-10.54958763
12/1/38,-21.54958763
1/1/39,-18.74958763
2/1/39,-23.74958763
3/1/39,-9.749587629
4/1/39,-4.349587629
5/1/39,11.75041237
6/1/39,19.15041237
7/1/39,23.25041237
8/1/39,19.25041237
9/1/39,18.75041237
10/1/39,3.750412371
11/1/39,-13.34958763
12/1/39,-20.74958763
1/1/40,-42.64958763
2/1/40,-24.44958763
3/1/40,-14.54958763
4/1/40,-3.449587629
5/1/40,6.050412371
6/1/40,19.05041237
7/1/40,21.95041237
8/1/40,20.65041237
9/1/40,12.05041237
10/1/40,6.050412371
11/1/40,-15.14958763
12/1/40,-18.44958763
1/1/41,-23.34958763
2/1/41,-25.54958763
3/1/41,-17.54958763
4/1/41,2.150412371
5/1/41,12.65041237
6/1/41,19.35041237
7/1/41,23.55041237
8/1/41,23.25041237
9/1/41,14.95041237
10/1/41,4.750412371
11/1/41,-12.04958763
12/1/41,-17.24958763
1/1/42,-25.94958763
2/1/42,-24.14958763
3/1/42,-11.14958763
4/1/42,2.650412371
5/1/42,8.250412371
6/1/42,17.55041237
7/1/42,23.05041237
8/1/42,18.75041237
9/1/42,11.65041237
10/1/42,1.350412371
11/1/42,-9.849587629
12/1/42,-25.84958763
1/1/43,-26.74958763
2/1/43,-18.34958763
3/1/43,-17.54958763
4/1/43,-2.549587629
5/1/43,7.750412371
6/1/43,20.45041237
7/1/43,24.35041237
8/1/43,23.45041237
9/1/43,8.950412371
10/1/43,-0.349587629
11/1/43,-15.84958763
12/1/43,-26.34958763
1/1/44,-21.24958763
2/1/44,-20.14958763
3/1/44,-16.54958763
4/1/44,-4.049587629
5/1/44,13.75041237
6/1/44,22.05041237
7/1/44,22.05041237
8/1/44,20.65041237
9/1/44,12.85041237
10/1/44,2.550412371
11/1/44,-11.14958763
12/1/44,-29.04958763
1/1/45,-29.54958763
2/1/45,-22.14958763
3/1/45,-3.549587629
4/1/45,-0.549587629
5/1/45,3.850412371
6/1/45,13.55041237
7/1/45,19.95041237
8/1/45,20.45041237
9/1/45,12.35041237
10/1/45,0.350412371
11/1/45,-11.94958763
12/1/45,-29.44958763
1/1/46,-23.54958763
2/1/46,-17.04958763
3/1/46,-0.649587629
4/1/46,3.350412371
5/1/46,5.650412371
6/1/46,19.45041237
7/1/46,22.95041237
8/1/46,16.35041237
9/1/46,11.95041237
10/1/46,4.850412371
11/1/46,-9.849587629
12/1/46,-17.24958763
1/1/47,-20.74958763
2/1/47,-28.84958763
3/1/47,-20.54958763
4/1/47,-2.349587629
5/1/47,6.650412371
6/1/47,16.75041237
7/1/47,19.65041237
8/1/47,28.45041237
9/1/47,14.55041237
10/1/47,8.650412371
11/1/47,-16.94958763
12/1/47,-19.04958763
1/1/48,-31.74958763
