Category: All categories

Week,globalism: (United States),localism: (United States)
2018-10-14,42,19
2018-10-21,75,5
2018-10-28,60,7
2018-11-04,66,13
2018-11-11,61,14
2018-11-18,44,12
2018-11-25,44,13
2018-12-02,85,12
2018-12-09,100,13
2018-12-16,46,9
2018-12-23,18,4
2018-12-30,42,4
2019-01-06,48,18
2019-01-13,29,14
2019-01-20,36,11
2019-01-27,42,8
2019-02-03,37,9
2019-02-10,48,5
2019-02-17,34,12
2019-02-24,33,17
2019-03-03,33,5
2019-03-10,22,4
2019-03-17,34,10
2019-03-24,43,13
2019-03-31,22,9
2019-04-07,66,3
2019-04-14,17,8
2019-04-21,45,11
2019-04-28,51,8
2019-05-05,35,10
2019-05-12,54,9
2019-05-19,24,9
2019-05-26,43,4
2019-06-02,33,5
2019-06-09,20,4
2019-06-16,15,8
2019-06-23,18,11
2019-06-30,22,6
2019-07-07,16,5
2019-07-14,15,3
2019-07-21,19,3
2019-07-28,11,8
2019-08-04,12,3
2019-08-11,16,5
2019-08-18,27,10
2019-08-25,12,5
2019-09-01,37,5
2019-09-08,42,6
2019-09-15,32,10
2019-09-22,86,5
2019-09-29,38,7
2019-10-06,37,5
