Category: All categories

Week,growth: (United States),economy: (United States)
2019-01-06,90,51
2019-01-13,96,54
2019-01-20,93,54
2019-01-27,98,54
2019-02-03,98,56
2019-02-10,97,55
2019-02-17,95,52
2019-02-24,100,56
2019-03-03,96,58
2019-03-10,93,50
2019-03-17,93,53
2019-03-24,93,53
2019-03-31,96,54
2019-04-07,97,54
2019-04-14,94,51
2019-04-21,100,56
2019-04-28,100,59
2019-05-05,95,57
2019-05-12,90,56
2019-05-19,85,50
2019-05-26,78,43
2019-06-02,79,41
2019-06-09,80,39
2019-06-16,81,38
2019-06-23,77,38
2019-06-30,70,34
2019-07-07,78,36
2019-07-14,77,36
2019-07-21,78,36
2019-07-28,76,36
2019-08-04,76,36
2019-08-11,80,42
2019-08-18,83,49
2019-08-25,83,50
2019-09-01,83,49
2019-09-08,93,58
2019-09-15,93,57
2019-09-22,95,57
2019-09-29,93,55
2019-10-06,96,55
