DATE,MRTSSM442USN
1992-01-01,3846
1992-02-01,3908
1992-03-01,4157
1992-04-01,4141
1992-05-01,4275
1992-06-01,4357
1992-07-01,4407
1992-08-01,4446
1992-09-01,4328
1992-10-01,4497
1992-11-01,4687
1992-12-01,5287
1993-01-01,4104
1993-02-01,3908
1993-03-01,4369
1993-04-01,4372
1993-05-01,4535
1993-06-01,4568
1993-07-01,4682
1993-08-01,4733
1993-09-01,4621
1993-10-01,4775
1993-11-01,5158
1993-12-01,5631
1994-01-01,4018
1994-02-01,4140
1994-03-01,4827
1994-04-01,4700
1994-05-01,4867
1994-06-01,4958
1994-07-01,4980
1994-08-01,5356
1994-09-01,5203
1994-10-01,5328
1994-11-01,5734
1994-12-01,6305
1995-01-01,4649
1995-02-01,4410
1995-03-01,5084
1995-04-01,4818
1995-05-01,5195
1995-06-01,5196
1995-07-01,5190
1995-08-01,5506
1995-09-01,5418
1995-10-01,5505
1995-11-01,6090
1995-12-01,6409
1996-01-01,4788
1996-02-01,4833
1996-03-01,5410
1996-04-01,5310
1996-05-01,5603
1996-06-01,5479
1996-07-01,5673
1996-08-01,5893
1996-09-01,5589
1996-10-01,5970
1996-11-01,6425
1996-12-01,6734
1997-01-01,5311
1997-02-01,5116
1997-03-01,5715
1997-04-01,5670
1997-05-01,6010
1997-06-01,5805
1997-07-01,6027
1997-08-01,6263
1997-09-01,6094
1997-10-01,6369
1997-11-01,6781
1997-12-01,7554
1998-01-01,5822
1998-02-01,5581
1998-03-01,6162
1998-04-01,6038
1998-05-01,6225
1998-06-01,6310
1998-07-01,6466
1998-08-01,6502
1998-09-01,6329
1998-10-01,6693
1998-11-01,7186
1998-12-01,8098
1999-01-01,5922
1999-02-01,5996
1999-03-01,6790
1999-04-01,6481
1999-05-01,6684
1999-06-01,6853
1999-07-01,6961
1999-08-01,7240
1999-09-01,7139
1999-10-01,7339
1999-11-01,8006
1999-12-01,8883
2000-01-01,6638
2000-02-01,6989
2000-03-01,7622
2000-04-01,7134
2000-05-01,7635
2000-06-01,7487
2000-07-01,7508
2000-08-01,7974
2000-09-01,7535
2000-10-01,7667
2000-11-01,8346
2000-12-01,8635
2001-01-01,7050
2001-02-01,6797
2001-03-01,7572
2001-04-01,6940
2001-05-01,7551
2001-06-01,7491
2001-07-01,7456
2001-08-01,7971
2001-09-01,7078
2001-10-01,7603
2001-11-01,8548
2001-12-01,9427
2002-01-01,7149
2002-02-01,7091
2002-03-01,7777
2002-04-01,7370
2002-05-01,7991
2002-06-01,7502
2002-07-01,7671
2002-08-01,8205
2002-09-01,7456
2002-10-01,7859
2002-11-01,8839
2002-12-01,9528
2003-01-01,7190
2003-02-01,6713
2003-03-01,7618
2003-04-01,7374
2003-05-01,8078
2003-06-01,7753
2003-07-01,8074
2003-08-01,8384
2003-09-01,8017
2003-10-01,8351
2003-11-01,9018
2003-12-01,10166
2004-01-01,7651
2004-02-01,7613
2004-03-01,8499
2004-04-01,7991
2004-05-01,8112
2004-06-01,8443
2004-07-01,8895
2004-08-01,8883
2004-09-01,8441
2004-10-01,8718
2004-11-01,9594
2004-12-01,10917
2005-01-01,7908
2005-02-01,7973
2005-03-01,8787
2005-04-01,8418
2005-05-01,8649
2005-06-01,8966
2005-07-01,8957
2005-08-01,9607
2005-09-01,9216
2005-10-01,9110
2005-11-01,10232
2005-12-01,11297
2006-01-01,8595
2006-02-01,8457
2006-03-01,9412
2006-04-01,8556
2006-05-01,9209
2006-06-01,9447
2006-07-01,9244
2006-08-01,9940
2006-09-01,9511
2006-10-01,9178
2006-11-01,10195
2006-12-01,11051
2007-01-01,8802
2007-02-01,8423
2007-03-01,9415
2007-04-01,8553
2007-05-01,9266
2007-06-01,9171
2007-07-01,9194
2007-08-01,9867
2007-09-01,8885
2007-10-01,9069
2007-11-01,10012
2007-12-01,10487
2008-01-01,8163
2008-02-01,8104
2008-03-01,8381
2008-04-01,8029
2008-05-01,8604
2008-06-01,8117
2008-07-01,8495
2008-08-01,8456
2008-09-01,7676
2008-10-01,7712
2008-11-01,8121
2008-12-01,8862
2009-01-01,6796
2009-02-01,6593
2009-03-01,6907
2009-04-01,6608
2009-05-01,6974
2009-06-01,6922
2009-07-01,7194
2009-08-01,7159
2009-09-01,6967
2009-10-01,6853
2009-11-01,7375
2009-12-01,8401
2010-01-01,6324
2010-02-01,6468
2010-03-01,7271
2010-04-01,6729
2010-05-01,6932
2010-06-01,6902
2010-07-01,7243
2010-08-01,7330
2010-09-01,7101
2010-10-01,6793
2010-11-01,7630
2010-12-01,8482
2011-01-01,6244
2011-02-01,6488
2011-03-01,7530
2011-04-01,6896
2011-05-01,7086
2011-06-01,7039
2011-07-01,7241
2011-08-01,7685
2011-09-01,7450
2011-10-01,6967
2011-11-01,7931
2011-12-01,9029
