DATE,MRTSSM442USN
2012-01-01,6866
2012-02-01,7169
2012-03-01,7784
2012-04-01,6872
2012-05-01,7683
2012-06-01,7378
2012-07-01,7551
2012-08-01,8064
2012-09-01,7439
2012-10-01,7260
2012-11-01,8260
2012-12-01,9216
2013-01-01,7297
2013-02-01,7089
2013-03-01,7875
2013-04-01,7314
2013-05-01,7834
2013-06-01,7558
2013-07-01,7977
2013-08-01,8461
2013-09-01,7848
2013-10-01,8059
2013-11-01,8842
2013-12-01,9195
2014-01-01,7201
2014-02-01,7227
2014-03-01,8104
2014-04-01,7791
2014-05-01,8384
2014-06-01,7881
2014-07-01,8403
2014-08-01,8734
2014-09-01,8371
2014-10-01,8441
2014-11-01,8950
2014-12-01,10231
2015-01-01,7964
2015-02-01,7514
2015-03-01,8616
2015-04-01,8261
2015-05-01,8893
2015-06-01,8576
2015-07-01,9110
2015-08-01,9148
2015-09-01,8967
2015-10-01,9108
2015-11-01,9488
2015-12-01,10925
2016-01-01,8181
2016-02-01,8384
2016-03-01,9264
2016-04-01,8610
2016-05-01,9002
2016-06-01,9113
2016-07-01,9177
2016-08-01,9567
2016-09-01,9529
2016-10-01,9048
2016-11-01,9950
2016-12-01,10870
2017-01-01,8307
2017-02-01,8277
2017-03-01,9698
2017-04-01,8630
2017-05-01,9470
2017-06-01,9411
2017-07-01,9276
2017-08-01,9897
2017-09-01,9530
2017-10-01,9494
2017-11-01,10536
2017-12-01,11257
2018-01-01,8699
2018-02-01,8505
2018-03-01,10013
2018-04-01,9175
2018-05-01,9910
2018-06-01,9713
2018-07-01,9700
2018-08-01,10170
2018-09-01,9546
2018-10-01,9693
2018-11-01,10550
2018-12-01,10937
2019-01-01,8581
2019-02-01,8382
2019-03-01,9793
2019-04-01,9271
2019-05-01,10004
2019-06-01,9432
2019-07-01,9872
