Category: All categories

Month,Des Moines: (United States),New York: (United States)
2004-01,3,94
2004-02,3,91
2004-03,3,93
2004-04,3,93
2004-05,3,94
2004-06,3,100
2004-07,3,99
2004-08,3,97
2004-09,3,92
2004-10,3,95
2004-11,3,91
2004-12,3,91
2005-01,3,89
2005-02,3,88
2005-03,3,89
2005-04,3,88
2005-05,3,88
2005-06,3,94
2005-07,3,91
2005-08,3,90
2005-09,3,88
2005-10,3,86
2005-11,3,86
2005-12,3,85
2006-01,3,81
2006-02,3,78
2006-03,3,80
2006-04,3,81
2006-05,3,79
2006-06,3,81
2006-07,3,80
2006-08,3,79
2006-09,3,80
2006-10,3,80
2006-11,3,77
2006-12,3,74
2007-01,3,75
2007-02,3,74
2007-03,4,74
2007-04,3,76
2007-05,3,72
2007-06,4,75
2007-07,4,76
2007-08,4,74
2007-09,3,72
2007-10,3,73
2007-11,3,72
2007-12,4,69
2008-01,3,70
2008-02,4,72
2008-03,3,71
2008-04,4,68
2008-05,4,66
2008-06,5,68
2008-07,4,69
2008-08,4,66
2008-09,4,68
2008-10,4,67
2008-11,3,63
2008-12,4,62
2009-01,3,61
2009-02,3,61
2009-03,3,61
2009-04,3,62
2009-05,3,59
2009-06,3,62
2009-07,3,61
2009-08,3,60
2009-09,3,61
2009-10,3,60
2009-11,3,60
2009-12,3,56
2010-01,3,54
2010-02,3,53
2010-03,3,55
2010-04,3,56
2010-05,3,56
2010-06,3,56
2010-07,3,53
2010-08,3,51
2010-09,3,52
2010-10,3,51
2010-11,3,50
2010-12,3,50
2011-01,4,55
2011-02,4,50
2011-03,4,50
2011-04,4,55
2011-05,4,55
2011-06,5,57
2011-07,4,58
2011-08,4,62
2011-09,4,58
2011-10,4,55
2011-11,4,49
2011-12,4,47
2012-01,4,48
2012-02,4,47
2012-03,4,47
2012-04,4,47
2012-05,4,45
2012-06,4,46
2012-07,4,44
2012-08,4,46
2012-09,4,46
2012-10,4,51
2012-11,4,45
2012-12,4,42
2013-01,4,40
2013-02,4,40
2013-03,4,41
2013-04,4,42
2013-05,4,42
2013-06,4,42
2013-07,4,43
2013-08,4,42
2013-09,4,43
2013-10,4,42
2013-11,4,42
2013-12,4,41
2014-01,4,41
2014-02,4,40
2014-03,4,41
2014-04,4,41
2014-05,4,42
2014-06,4,40
2014-07,4,42
2014-08,4,41
2014-09,4,42
2014-10,4,41
2014-11,4,41
2014-12,4,41
2015-01,4,41
2015-02,4,38
2015-03,4,39
2015-04,4,42
2015-05,4,41
2015-06,5,45
2015-07,5,44
2015-08,4,43
2015-09,4,44
2015-10,4,45
2015-11,4,42
2015-12,4,42
2016-01,4,40
2016-02,4,39
2016-03,4,40
2016-04,4,48
2016-05,4,41
2016-06,4,41
2016-07,4,41
2016-08,4,40
2016-09,4,44
2016-10,4,41
2016-11,4,42
2016-12,4,40
2017-01,4,40
2017-02,4,39
2017-03,4,41
2017-04,4,40
2017-05,4,41
2017-06,4,42
2017-07,4,43
2017-08,4,42
2017-09,3,40
2017-10,4,44
2017-11,3,42
2017-12,3,42
2018-01,4,40
2018-02,4,38
2018-03,4,41
2018-04,4,40
2018-05,4,39
2018-06,4,40
2018-07,4,41
2018-08,4,40
2018-09,3,41
2018-10,3,40
2018-11,3,39
2018-12,3,38
2019-01,3,39
2019-02,3,36
2019-03,4,38
2019-04,4,39
2019-05,4,38
2019-06,4,41
2019-07,4,40
2019-08,4,40
2019-09,3,40
2019-10,3,41
