DATE,CPIAUCNS
7/1/15,238.654
8/1/15,238.316
9/1/15,237.945
10/1/15,237.838
11/1/15,237.336
12/1/15,236.525
1/1/16,236.916
2/1/16,237.111
3/1/16,238.132
4/1/16,239.261
5/1/16,240.229
6/1/16,241.018
7/1/16,240.628
8/1/16,240.849
9/1/16,241.428
10/1/16,241.729
11/1/16,241.353
12/1/16,241.432
1/1/17,242.839
2/1/17,243.603
3/1/17,243.801
4/1/17,244.524
5/1/17,244.733
6/1/17,244.955
7/1/17,244.786
8/1/17,245.519
9/1/17,246.819
10/1/17,246.663
11/1/17,246.669
12/1/17,246.524
1/1/18,247.867
2/1/18,248.991
3/1/18,249.554
4/1/18,250.546
5/1/18,251.588
6/1/18,251.989
7/1/18,252.006
8/1/18,252.146
9/1/18,252.439
10/1/18,252.885
11/1/18,252.038
12/1/18,251.233
1/1/19,251.712
2/1/19,252.776
3/1/19,254.202
4/1/19,255.548
5/1/19,256.092
6/1/19,256.143
7/1/19,256.571
